time,Unix time,CHTR:CM02:1255:HV:POWER,CLL:CM02:2301:DS:LVL,CPV:CM02:3001:JT:POS_RBV,CLL:CM02:2601:US:LVL,CHTR:CM02:1855:HV:POWER
2019-03-03 14:13:35,1551640415.56,2.13125,96.3556,17.3984,74.1105,9.95721
2019-03-03 14:13:36,1551640416.56,2.13125,96.3556,17.3984,74.2822,9.95721
2019-03-03 14:13:39,1551640419.56,2.13125,96.5804,17.3984,74.2822,9.95721
2019-03-03 14:13:40,1551640420.56,2.13125,96.3535,17.3984,74.0912,9.95721
2019-03-03 14:13:41,1551640421.56,2.13125,96.3535,17.3984,74.3077,9.95721
2019-03-03 14:13:43,1551640423.56,2.13125,96.6413,17.3984,74.3077,9.95721
2019-03-03 14:13:44,1551640424.56,2.13125,96.2316,17.3984,74.3077,9.95721
2019-03-03 14:13:45,1551640425.56,2.13125,96.5762,17.3984,74.3077,9.95721
2019-03-03 14:13:47,1551640427.56,2.13125,96.3547,17.3984,74.3077,9.95721
2019-03-03 14:13:48,1551640428.57,2.13125,96.3547,17.3984,74.154,9.95721
2019-03-03 14:13:51,1551640431.57,2.13125,96.493,17.3984,74.154,9.95721
2019-03-03 14:13:52,1551640432.57,2.13125,96.3874,17.3984,74.0411,9.95721
2019-03-03 14:13:53,1551640433.57,2.13125,96.3874,17.3984,74.3233,9.95721
2019-03-03 14:13:54,1551640434.57,2.13125,96.3874,17.3984,74.0872,9.95721
2019-03-03 14:13:55,1551640435.56,2.13125,96.3874,17.3984,74.3398,9.95721
2019-03-03 14:13:56,1551640436.57,2.13125,96.3874,17.3984,74.104,9.95721
2019-03-03 14:13:57,1551640437.56,2.13125,96.3874,17.3984,74.4036,9.95721
2019-03-03 14:13:59,1551640439.57,2.13125,96.3874,17.3984,74.0819,9.95721
2019-03-03 14:14:00,1551640440.57,2.13125,96.3874,17.3984,74.2568,9.95721
2019-03-03 14:14:01,1551640441.56,2.13125,96.3874,17.3984,74.137,9.95721
2019-03-03 14:14:02,1551640442.56,2.13125,96.1763,17.3984,74.3194,9.95721
2019-03-03 14:14:03,1551640443.56,2.13125,96.5804,17.3984,74.3194,9.95721
2019-03-03 14:14:04,1551640444.57,2.13125,96.5804,17.3984,74.0297,9.95721
2019-03-03 14:14:05,1551640445.56,2.13125,96.3402,17.3984,74.4389,9.95721
2019-03-03 14:14:06,1551640446.56,2.13125,96.3402,17.3984,74.0366,9.95721
2019-03-03 14:14:07,1551640447.56,2.13125,96.3402,17.3984,74.4937,9.95721
2019-03-03 14:14:08,1551640448.57,2.13125,96.3402,17.3984,74.2568,9.95721
2019-03-03 14:14:09,1551640449.56,2.13125,96.4685,17.3984,74.2568,9.95721
2019-03-03 14:14:10,1551640450.56,2.13125,96.3054,17.3984,74.2568,9.95721
2019-03-03 14:14:11,1551640451.56,2.13125,96.4347,17.3984,74.2568,9.95721
2019-03-03 14:14:13,1551640453.56,2.13125,96.4347,17.3984,74.1475,9.95721
